density_var,var,exp,center,model,member,size_mb,finite_frac,status
sigma_1,so,1pctCO2,CNRM-CERFACS,CNRM-CM6-1,r1i1p1f2,981.6,0.4031,ok
sigma_1,so,1pctCO2,CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,1001.1,0.4043,ok
sigma_1,so,1pctCO2,CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,1041.4,0.3881,ok
sigma_1,so,1pctCO2,CSIRO,ACCESS-ESM1-5,r1i1p1f1,4.6,0.0,corrupt
sigma_1,so,1pctCO2,EC-Earth-Consortium,EC-Earth3-AerChem,r1i1p1f1,1038.7,0.4056,ok
sigma_1,so,1pctCO2,EC-Earth-Consortium,EC-Earth3,r3i1p1f1,1100.2,0.4047,ok
sigma_1,so,1pctCO2,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,1036.7,0.3881,ok
sigma_1,so,1pctCO2,INM,INM-CM4-8,r1i1p1f1,1077.2,0.4381,ok
sigma_1,so,1pctCO2,IPSL,IPSL-CM5A2-INCA,r1i1p1f1,930.1,0.3872,ok
sigma_1,so,1pctCO2,IPSL,IPSL-CM6A-LR,r1i1p1f1,1012.3,0.4078,ok
sigma_1,so,1pctCO2,IPSL,IPSL-CM6A-MR1,r1i1p1f1,991.6,0.4022,ok
sigma_1,so,1pctCO2,MIROC,MIROC-ES2L,r1i1p1f2,984.0,0.4066,ok
sigma_1,so,1pctCO2,MIROC,MIROC6,r1i1p1f1,984.5,0.4003,ok
sigma_1,so,1pctCO2,MOHC,HadGEM3-GC31-LL,r1i1p1f3,1009.8,0.398,ok
sigma_1,so,1pctCO2,MOHC,HadGEM3-GC31-LL,r2i1p1f3,1008.4,0.3981,ok
sigma_1,so,1pctCO2,MOHC,HadGEM3-GC31-LL,r3i1p1f3,1009.6,0.399,ok
sigma_1,so,1pctCO2,MOHC,HadGEM3-GC31-LL,r4i1p1f3,1007.0,0.3965,ok
sigma_1,so,1pctCO2,MOHC,UKESM1-0-LL,r1i1p1f2,998.0,0.4021,ok
sigma_1,so,1pctCO2,MOHC,UKESM1-0-LL,r2i1p1f2,1007.8,0.4066,ok
sigma_1,so,1pctCO2,MOHC,UKESM1-0-LL,r3i1p1f2,1015.5,0.4117,ok
sigma_1,so,1pctCO2,MOHC,UKESM1-0-LL,r4i1p1f2,1019.9,0.4147,ok
sigma_1,so,1pctCO2,MPI-M,MPI-ESM1-2-LR,r1i1p1f1,1127.0,0.3829,ok
sigma_1,so,1pctCO2,MRI,MRI-ESM2-0,r1i1p1f1,1021.6,0.4072,ok
sigma_1,so,1pctCO2,MRI,MRI-ESM2-0,r1i2p1f1,1025.3,0.4068,ok
sigma_1,so,1pctCO2,NASA-GISS,GISS-E2-1-G,r1i1p1f1,1005.0,0.384,ok
sigma_1,so,1pctCO2,NASA-GISS,GISS-E2-1-G,r1i1p3f1,1006.1,0.3851,ok
sigma_1,so,1pctCO2,NASA-GISS,GISS-E2-2-G,r1i1p1f1,977.1,0.3792,ok
sigma_1,so,1pctCO2,NCAR,CESM2-FV2,r1i1p1f1,1021.7,0.4095,ok
sigma_1,so,1pctCO2,NCAR,CESM2-WACCM-FV2,r1i1p1f1,1013.0,0.4038,ok
sigma_1,so,1pctCO2,NCAR,CESM2-WACCM,r1i1p1f1,1019.6,0.4079,ok
sigma_1,so,1pctCO2,NCAR,CESM2,r1i1p1f1,1007.5,0.3983,ok
sigma_1,so,1pctCO2,NCC,NorCPM1,r1i1p1f1,1143.4,0.3875,ok
sigma_1,so,1pctCO2,NCC,NorESM2-LM,r1i1p1f1,1063.6,0.3941,ok
sigma_1,so,1pctCO2,NCC,NorESM2-MM,r1i1p1f1,1054.9,0.3898,ok
sigma_1,so,1pctCO2,NOAA-GFDL,GFDL-CM4,r1i1p1f1,1078.1,0.3929,ok
sigma_1,so,1pctCO2,NOAA-GFDL,GFDL-ESM4,r1i1p1f1,1020.3,0.3941,ok
sigma_1,so,1pctCO2,NUIST,NESM3,r1i1p1f1,1057.9,0.4245,ok
sigma_1,so,1pctCO2,THU,CIESM,r1i1p1f1,1052.1,0.4066,ok
sigma_1,so,1pctCO2,UA,MCM-UA-1-0,r1i1p1f1,3079.8,0.3831,ok
sigma_1,so,abrupt-4xCO2,BCC,BCC-CSM2-MR,r1i1p1f1,983.3,0.3716,ok
sigma_1,so,abrupt-4xCO2,BCC,BCC-ESM1,r1i1p1f1,1002.2,0.3798,ok
sigma_1,so,abrupt-4xCO2,CAMS,CAMS-CSM1-0,r1i1p1f1,1023.4,0.391,ok
sigma_1,so,abrupt-4xCO2,CAMS,CAMS-CSM1-0,r2i1p1f1,1023.7,0.3908,ok
sigma_1,so,abrupt-4xCO2,CAS,FGOALS-f3-L,r1i1p1f1,1076.1,0.3672,ok
sigma_1,so,abrupt-4xCO2,CAS,FGOALS-f3-L,r2i1p1f1,1074.1,0.366,ok
sigma_1,so,abrupt-4xCO2,CAS,FGOALS-f3-L,r3i1p1f1,1070.9,0.3656,ok
sigma_1,so,abrupt-4xCO2,CCCma,CanESM5,r1i1p1f1,996.3,0.3987,ok
sigma_1,so,abrupt-4xCO2,CCCma,CanESM5,r1i1p2f1,993.3,0.4011,ok
sigma_1,so,abrupt-4xCO2,CMCC,CMCC-CM2-SR5,r1i1p1f1,1101.5,0.3957,ok
sigma_1,so,abrupt-4xCO2,CMCC,CMCC-ESM2,r1i1p1f1,1095.8,0.3952,ok
sigma_1,so,abrupt-4xCO2,CNRM-CERFACS,CNRM-CM6-1,r1i1p1f2,979.8,0.4097,ok
sigma_1,so,abrupt-4xCO2,CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,997.4,0.4068,ok
sigma_1,so,abrupt-4xCO2,CNRM-CERFACS,CNRM-ESM2-1,r3i1p1f2,987.4,0.4028,ok
sigma_1,so,abrupt-4xCO2,CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,1060.2,0.3912,ok
sigma_1,so,abrupt-4xCO2,CSIRO,ACCESS-ESM1-5,r1i1p1f1,1050.2,0.3903,ok
sigma_1,so,abrupt-4xCO2,CSIRO,ACCESS-ESM1-5,r2i1p1f1,6269.8,0.3496,ok
sigma_1,so,abrupt-4xCO2,EC-Earth-Consortium,EC-Earth3-AerChem,r1i1p1f1,1024.3,0.4024,ok
sigma_1,so,abrupt-4xCO2,EC-Earth-Consortium,EC-Earth3,r3i1p1f1,1090.1,0.4055,ok
sigma_1,so,abrupt-4xCO2,EC-Earth-Consortium,EC-Earth3,r8i1p1f1,1107.8,0.3953,ok
