density_var,var,exp,center,model,member,size_mb,finite_frac,status
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r1i1p1f1,1381.9,0.4099,ok
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r1i2p1f1,1379.0,0.4099,ok
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r2i1p1f1,59.6,0.4225,ok
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r3i1p1f1,59.4,0.4224,ok
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r4i1p1f1,1381.9,0.4094,ok
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r5i1p1f1,59.5,0.4236,ok
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r6i1p1f1,59.4,0.422,ok
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r7i1p1f1,1384.1,0.4102,ok
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r8i1p1f1,59.3,0.422,ok
sigma_1,thetao,abrupt-4xCO2,MRI,MRI-ESM2-0,r9i1p1f1,59.4,0.4234,ok
sigma_1,thetao,abrupt-4xCO2,NASA-GISS,GISS-E2-1-G,r1i1p1f1,1346.4,0.38,ok
sigma_1,thetao,abrupt-4xCO2,NASA-GISS,GISS-E2-1-G,r1i1p1f3,492.0,0.1915,ok
sigma_1,thetao,abrupt-4xCO2,NASA-GISS,GISS-E2-1-G,r1i1p3f1,1338.9,0.3792,ok
sigma_1,thetao,abrupt-4xCO2,NASA-GISS,GISS-E2-1-G,r1i1p5f1,1340.1,0.3793,ok
sigma_1,thetao,abrupt-4xCO2,NASA-GISS,GISS-E2-1-H,r1i1p3f1,1460.2,0.4175,ok
sigma_1,thetao,abrupt-4xCO2,NASA-GISS,GISS-E2-2-G,r1i1p1f1,1386.2,0.3713,ok
sigma_1,thetao,abrupt-4xCO2,NCAR,CESM2-FV2,r1i1p1f1,1379.2,0.4118,ok
sigma_1,thetao,abrupt-4xCO2,NCAR,CESM2-WACCM-FV2,r1i1p1f1,1360.2,0.4083,ok
sigma_1,thetao,abrupt-4xCO2,NCAR,CESM2-WACCM,r1i1p1f1,1388.9,0.4114,ok
sigma_1,thetao,abrupt-4xCO2,NCAR,CESM2,r1i1p1f1,7295.7,0.3285,ok
sigma_1,thetao,abrupt-4xCO2,NCC,NorCPM1,r1i1p1f1,794.6,0.3952,ok
sigma_1,thetao,abrupt-4xCO2,NCC,NorESM2-LM,r1i1p1f1,4315.7,0.3513,ok
sigma_1,thetao,abrupt-4xCO2,NOAA-GFDL,GFDL-ESM4,r1i1p1f1,1439.1,0.3927,ok
sigma_1,thetao,abrupt-4xCO2,NUIST,NESM3,r1i1p1f1,1424.9,0.4527,ok
sigma_1,thetao,abrupt-4xCO2,UA,MCM-UA-1-0,r1i1p1f1,4169.4,0.3795,ok
sigma_1,o2,1pctCO2,CCCma,CanESM5-CanOE,r1i1p2f1,1401.5,0.3913,ok
sigma_1,o2,1pctCO2,CCCma,CanESM5,r1i1p1f1,1380.5,0.3863,ok
sigma_1,o2,1pctCO2,CCCma,CanESM5,r1i1p2f1,1387.5,0.3913,ok
sigma_1,o2,1pctCO2,CCCma,CanESM5,r2i1p1f1,1392.2,0.3912,ok
sigma_1,o2,1pctCO2,CCCma,CanESM5,r2i1p2f1,1388.9,0.3888,ok
sigma_1,o2,1pctCO2,CCCma,CanESM5,r3i1p1f1,1392.8,0.3916,ok
sigma_1,o2,1pctCO2,CCCma,CanESM5,r3i1p2f1,1391.5,0.3923,ok
sigma_1,o2,1pctCO2,CMCC,CMCC-ESM2,r1i1p1f1,1565.5,0.4,ok
sigma_1,o2,1pctCO2,CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,1440.3,0.4043,ok
sigma_1,o2,1pctCO2,CSIRO,ACCESS-ESM1-5,r1i1p1f1,4.6,0.0,corrupt
sigma_1,o2,1pctCO2,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,1460.9,0.3881,ok
sigma_1,o2,1pctCO2,IPSL,IPSL-CM5A2-INCA,r1i1p1f1,1345.1,0.3872,ok
sigma_1,o2,1pctCO2,IPSL,IPSL-CM6A-LR,r1i1p1f1,1412.3,0.4078,ok
sigma_1,o2,1pctCO2,MIROC,MIROC-ES2L,r1i1p1f2,1381.4,0.4066,ok
sigma_1,o2,1pctCO2,MOHC,UKESM1-0-LL,r1i1p1f2,1367.8,0.4021,ok
sigma_1,o2,1pctCO2,MOHC,UKESM1-0-LL,r2i1p1f2,1375.7,0.4066,ok
sigma_1,o2,1pctCO2,MOHC,UKESM1-0-LL,r3i1p1f2,1384.8,0.4117,ok
sigma_1,o2,1pctCO2,MOHC,UKESM1-0-LL,r4i1p1f2,1388.6,0.4147,ok
sigma_1,o2,1pctCO2,MPI-M,MPI-ESM1-2-LR,r1i1p1f1,1585.1,0.3829,ok
sigma_1,o2,1pctCO2,MRI,MRI-ESM2-0,r1i2p1f1,1437.2,0.4068,ok
sigma_1,o2,1pctCO2,NCC,NorESM2-LM,r1i1p1f1,1439.1,0.3941,ok
sigma_1,o2,1pctCO2,NOAA-GFDL,GFDL-CM4,r1i1p1f1,1489.2,0.3885,ok
sigma_1,o2,abrupt-4xCO2,CCCma,CanESM5,r1i1p1f1,1399.9,0.3987,ok
sigma_1,o2,abrupt-4xCO2,CCCma,CanESM5,r1i1p2f1,1399.9,0.4011,ok
sigma_1,o2,abrupt-4xCO2,CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,1431.0,0.4068,ok
sigma_1,o2,abrupt-4xCO2,CNRM-CERFACS,CNRM-ESM2-1,r3i1p1f2,1420.7,0.4028,ok
sigma_1,o2,abrupt-4xCO2,CSIRO,ACCESS-ESM1-5,r1i1p1f1,1445.5,0.3902,ok
sigma_1,o2,abrupt-4xCO2,CSIRO,ACCESS-ESM1-5,r2i1p1f1,8689.8,0.3496,ok
sigma_1,o2,abrupt-4xCO2,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,1435.9,0.3829,ok
sigma_1,o2,abrupt-4xCO2,IPSL,IPSL-CM5A2-INCA,r1i1p1f1,1337.6,0.3867,ok
sigma_1,o2,abrupt-4xCO2,IPSL,IPSL-CM6A-LR,r1i1p1f1,7665.7,0.3669,ok
sigma_1,o2,abrupt-4xCO2,IPSL,IPSL-CM6A-MR1,r1i1p1f1,1389.6,0.4021,ok
sigma_1,o2,abrupt-4xCO2,MIROC,MIROC-ES2L,r1i1p1f2,1338.5,0.3943,ok
sigma_1,o2,abrupt-4xCO2,MOHC,UKESM1-0-LL,r1i1p1f2,1367.5,0.4079,ok
sigma_1,o2,abrupt-4xCO2,MPI-M,MPI-ESM1-2-HR,r1i1p1f1,1623.3,0.3915,ok
sigma_1,o2,abrupt-4xCO2,MPI-M,MPI-ESM1-2-LR,r1i1p1f1,1564.0,0.3774,ok
sigma_1,o2,abrupt-4xCO2,MRI,MRI-ESM2-0,r1i2p1f1,1416.3,0.4099,ok
sigma_1,o2,abrupt-4xCO2,NCC,NorESM2-LM,r1i1p1f1,2723.4,0.3742,ok
sigma_1,o2,abrupt-4xCO2,NOAA-GFDL,GFDL-ESM4,r1i1p1f1,1438.2,0.3881,ok
